,params,mean_test_f1,mean_test_recall,mean_test_precision
3668,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 16, 'splitter': 'best'}",0.21303030303030304,0.14835164835164835,0.4177777777777778
3669,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 16, 'splitter': 'random'}",0.11517027863777089,0.07582417582417582,0.25
3670,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 17, 'splitter': 'best'}",0.22922077922077927,0.16263736263736264,0.43206349206349204
3671,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 17, 'splitter': 'random'}",0.15411764705882353,0.1010989010989011,0.35
3672,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 18, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3673,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 18, 'splitter': 'random'}",0.10888888888888888,0.07252747252747252,0.22333333333333333
3674,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 19, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3675,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 19, 'splitter': 'random'}",0.12205882352941178,0.07252747252747252,0.4
3676,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 20, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3677,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 20, 'splitter': 'random'}",0.12415966386554622,0.07252747252747252,0.5
3678,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 21, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3679,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 21, 'splitter': 'random'}",0.142296918767507,0.09010989010989011,0.4904761904761905
3680,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 22, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3681,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 22, 'splitter': 'random'}",0.11649122807017545,0.07362637362637363,0.32
3682,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 23, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3683,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 23, 'splitter': 'random'}",0.17140096618357487,0.13076923076923075,0.2682539682539683
3684,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 24, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3685,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 24, 'splitter': 'random'}",0.07205882352941176,0.04395604395604395,0.2
3686,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 25, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3687,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 25, 'splitter': 'random'}",0.026666666666666672,0.015384615384615385,0.1
3688,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 26, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3689,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 26, 'splitter': 'random'}",0.07833333333333334,0.046153846153846156,0.26666666666666666
3690,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 27, 'splitter': 'best'}",0.17803030303030304,0.1197802197802198,0.4177777777777778
3691,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 27, 'splitter': 'random'}",0.2167293233082707,0.14725274725274726,0.5666666666666667
3692,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 28, 'splitter': 'best'}",0.17803030303030304,0.1197802197802198,0.4177777777777778
3693,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 28, 'splitter': 'random'}",0.12392156862745099,0.07252747252747252,0.5
3694,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 29, 'splitter': 'best'}",0.18064468211527038,0.1197802197802198,0.45111111111111113
3695,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 29, 'splitter': 'random'}",0.06857142857142857,0.046153846153846156,0.2571428571428571
